category,problem_statement,severity_signal,original_quote,chunk_id,start_time,end_time
Payments,"User is unable to see the charge for a package, which is causing confusion.",Medium,לא ראיתי חיוב של החבילה ממש מוזר,51,"12/12/24, 08:40","12/13/24, 12:37"
Marketing,Needs a serious campaigner for social media and traditional media marketing to sell a large quantity of products directly via e-commerce.,Medium,מחפש קמפיינר רציני לשיווק ברשתות החברתיות ואולי גם בתקשורת של פעם (טלוויזיה ורדיו). אשמח להמלצות מניסיון.,51,"12/12/24, 08:40","12/13/24, 12:37"
Event Management,Lack of timely information and communication regarding an upcoming fair.,Medium,מתי היריד??? למה את לא אומרת לי???,51,"12/12/24, 08:40","12/13/24, 12:37"
Payments,A specific scenario or action is preventing payment processing.,Medium,זה לא יאפשר סליקה,51,"12/12/24, 08:40","12/13/24, 12:37"
E-commerce Platform Features,Needs to implement a 'send as a gift' feature on a new WooCommerce site and is looking for examples.,Low,אשמח לדוגמאות לאתרים שבנויים בווקומרס שבהם יש אפשרות לשליחת המוצר כמתנה למישהו אחר,51,"12/12/24, 08:40","12/13/24, 12:37"
Website Technical,"The tracking pixel on a website is not configured correctly, impacting analytics.",Medium,תסדרו את הפיקסל שלכם... 🙂,51,"12/12/24, 08:40","12/13/24, 12:37"
WordPress Plugin,Difficulty configuring a WordPress plugin ('bedges') to display text at the desired position (bottom instead of top).,High,אני מנסה להגדיר שהכיתוב יהיה למטה וזה פשוט ממקם את הכתב למעלה עזרה מישהו????,51,"12/12/24, 08:40","12/13/24, 12:37"
Content Creation,Difficulty finding engaging templates for business Reels and videos.,Medium,איפה אתם מוצאים טמפלייטים מעניינים לרילס לסרטונים לעסק?,51,"12/12/24, 08:40","12/13/24, 12:37"
Content Creation Tools,Needs a free application that supports writing Hebrew text for video captions.,Medium,האם יש אפליקציה חינמית שמאפשרת לכתוב טקסט בעברית כמו captions ?,51,"12/12/24, 08:40","12/13/24, 12:37"
Content Creation Tools,"CapCut application templates are geo-restricted and not available when connected from Israel, requiring a VPN connection through the US.",Medium,"הפרו טיפ שלי הוא להיכנס לאפליקציה כשמחוברים לVPN דרך ארצות הברית, כי בחיבור רגיל מהארץ אין טמפלייטים בכלל",51,"12/12/24, 08:40","12/13/24, 12:37"
Product Photography,Needs recommendations for a reliable product photographer in the Tel Aviv area.,Low,צלם מוצר מומלץ באיזור תל אביב?,51,"12/12/24, 08:40","12/13/24, 12:37"
Website Optimization,Needs an expert for Conversion Rate Optimization (CRO) for an international WordPress site and assistance with Looker Studio.,Low,אני מחפש מומחה/ית לשיפור יחס המרה (CRO) יש לי אתר בוורדפרס שפונה בעיקר לקהל בחו״ל. וגם looker studio,51,"12/12/24, 08:40","12/13/24, 12:37"
Google Business,"The Google business validation process is difficult, requiring a high bar of proof for location, leading users to seek workarounds.",Medium,מנסיון עבר עם ולידציה לעסקים בגוגל אם עושים את זה דרך חשבון שבעבר כבר אישרו לו מיקומים זה הולך יותר בקלות והרף הנדרש להוכיח את המיקום נמוך יותר,51,"12/12/24, 08:40","12/13/24, 12:37"
Google Business,"The Google business validation process feels inconsistent and subjective, relying on personal impression rather than a precise protocol.",High,מרגיש שזה קם ונופל על התרשמות אישית ולא הולך לפי פרוטוקול מדויק.,51,"12/12/24, 08:40","12/13/24, 12:37"
Domain Management,Requires assistance with domain verification.,Low,מי יכול לעשות לי אימות דומיין?,51,"12/12/24, 08:40","12/13/24, 12:37"
